Stochastic,Momentum,Wiliams,ADI,EMA,MACD,RSI,OBV,BB_BBM,BB_BBH,BB_BBL,ATR
87.45380799,2072.900824,-12.54619201,1327550.497,33007.48183,605.1946061,64.22350382,577313.7654,32234.635,34583.81422,29885.45578,776.6908883
86.39285516,1965.659118,-13.60714484,1330831.919,33128.88559,621.9931074,63.82337698,571207.4135,32387.5865,34756.83349,30018.33951,779.7551106
83.10705556,1876.294412,-16.89294444,1331411.636,33219.87151,619.5520117,62.40558619,567969.7541,32556.338,34824.21384,30288.46216,760.1926027
85.01640899,1831.445176,-14.98359101,1330017.358,33306.99531,615.526515,62.92104011,571222.0087,32693.8405,34930.74967,30456.93133,732.1445597
92.53714342,1722.467529,-7.46285658,1332556.331,33415.0746,624.84561,64.95902662,574405.0967,32858.8315,35002.74356,30714.91944,716.8485197
88.99246881,1823.845765,-11.00753119,1338516.899,33669.85265,721.4163469,72.89477281,587140.5144,33065.5225,35320.99674,30810.04826,783.9843397
80.32472804,2000.693676,-19.67527196,1337780.224,33844.39363,761.1750002,68.12343321,581544.7307,33235.9865,35528.49683,30943.47617,805.1283154
81.74837718,2140.288794,-18.25162282,1339883.583,34015.20915,795.3451701,69.04528258,585467.7571,33424.9735,35685.99438,31163.95262,779.5234358
65.01965314,2200.187853,-34.98034686,1338817.041,34103.36793,777.2264693,63.03147747,581569.0198,33569.9605,35760.38436,31379.53664,788.0310475
56.05676673,2218.986471,-43.94323327,1340030.012,34168.82287,747.6227412,61.96863676,576474.2606,33720.424,35752.47715,31688.37085,798.5838298
25.47829806,1954.303735,-74.52170194,1339447.204,34135.57982,662.0804158,53.92264112,570720.3476,33843.3985,35591.1917,32095.6053,830.812842
45.5647992,1704.1815,-54.4352008,1341870.542,34173.15051,627.2303271,58.23171743,574571.9219,33947.15,35567.94258,32326.35742,822.5683533
65.78484455,1552.788176,-34.21515545,1344054.427,34272.53444,632.7575758,62.07646584,580934.726,34088.0775,35521.19814,32654.95686,825.0370423
66.24236458,1439.185735,-33.75763542,1346474.661,34360.17919,630.7817442,62.16133887,585504.2407,34211.076,35480.46305,32941.68895,814.1336821
50.91625043,1386.888294,-49.08374957,1345042.571,34385.48863,591.742312,57.51759477,581207.9684,34301.4395,35383.31155,33219.56745,809.5527049
35.5198698,1356.546735,-64.4801302,1342724.036,34362.55148,527.5658645,53.69080824,575479.6003,34343.4705,35339.69808,33347.24292,790.3760831
50.16399024,1299.235147,-49.83600976,1343941.488,34389.70328,499.4110311,56.92557797,579529.7571,34386.8925,35341.59523,33432.18977,779.6349343
52.08288357,1168.133471,-47.91711643,1341980.972,34419.39751,475.3481726,57.34602176,585672.7434,34419.0545,35358.51868,33479.59032,774.1967247
63.96117375,1068.748912,-36.03882625,1343200,34483.28051,473.9020223,59.95192285,589083.0369,34478.999,35379.37819,33578.61981,754.3119586
83.23327808,1032.976059,-16.76672192,1346286.286,34580.94311,492.6745025,62.67479053,592787.0453,34530.6155,35474.60313,33586.62787,725.4882473
62.42009328,1094.794647,-37.57990672,1342436.504,34612.38003,469.936309,57.38922783,587167.8376,34573.975,35486.35187,33661.59813,748.1248011
91.90484423,1139.757,-8.095155769,1350762.82,34799.51336,542.4255726,66.52549466,598090.2503,34678.8685,35736.30926,33621.42774,835.401601
80.85408567,1273.604618,-19.14591433,1347371.772,34942.79958,581.7323681,64.75830351,590608.926,34782.0125,35882.38908,33681.63592,834.3014866
84.56444202,1395.303735,-15.43555798,1346964.938,35082.37697,615.1101438,65.56103123,593326.7733,34887.829,36024.73551,33750.92249,823.2135233
94.52908587,1529.449147,-5.470914127,1350578.833,35307.30804,696.4517044,70.45494213,598828.2128,35020.4175,36366.38025,33674.45475,835.1332716
95.76627174,1715.377706,-4.233728259,1354855.86,35553.0883,782.6611697,72.51204318,605087.7918,35111.655,36744.82372,33478.48628,837.2608951
87.13653828,1906.431706,-12.86346172,1354109.717,35728.87253,819.0134155,68.73817675,600545.7521,35206.283,37008.30624,33404.25976,821.1551169
89.94624769,1914.765353,-10.05375231,1356597.868,35893.33886,845.4123157,69.29843163,604658.7331,35298.126,37254.9118,33341.3402,807.5733228
93.29453899,2028.325147,-6.705461007,1358339.846,36101.49101,895.7175244,72.20282236,609406.38,35437.03,37582.83923,33291.22077,805.0659426
93.01070724,2074.772676,-6.989292759,1360795.269,36281.41887,924.6412347,72.1500959,605306.4262,35579.8635,37858.46414,33301.26286,782.8383753
89.66323667,2073.371265,-10.33676333,1360020.54,36423.52302,928.4886859,70.52010401,600968.8259,35751.2485,38020.13895,33482.35805,769.7806342
83.33840037,2004.184324,-16.66159963,1360648.69,36517.83195,903.662516,67.11491571,596873.4747,35886.9225,38145.02723,33628.81777,766.9213032
75.41656922,1958.832529,-24.58343078,1358576.238,36563.43436,852.2962288,63.01093699,593091.1978,35983.9885,38234.12416,33733.85284,756.3354958
85.87318756,1779.008941,-14.12681244,1362505.185,36650.64978,830.8736821,65.96902319,598345.8081,36098.3725,38355.11292,33841.63208,777.3115318
93.91633536,1663.833,-6.08366464,1366789.482,36762.92181,826.5694796,68.08335984,602752.8536,36245.507,38462.62582,34028.38818,764.3599938
68.04417788,1522.375853,-31.95582212,1364952.865,36800.59223,778.1003811,61.40492743,599516.0309,36387.1065,38421.20408,34353.00892,751.1914228
95.85909255,1493.541765,-4.140907448,1368364.26,36936.79194,793.2129633,67.38742401,603831.5213,36549.9015,38494.18344,34605.61956,760.0170355
88.509383,1544.560353,-11.490617,1369901.17,37070.73434,805.5282575,68.20257616,610194.8804,36716.349,38534.55412,34898.14388,754.4443901
87.44011273,1687.357412,-12.55988727,1369842.355,37216.1831,823.5661859,69.7082391,615559.2265,36879.503,38598.87573,35160.13027,738.3412194
91.86313311,1818.439794,-8.136866886,1371638.133,37381.22135,851.6360594,71.62882791,621075.8602,37041.414,38712.80754,35370.02046,726.0125609
100,1977.798412,0,1377039.495,37593.11451,905.1211618,74.68242753,626477.2228,37249.099,38790.32717,35707.87083,738.9880922
88.1253125,2201.002676,-11.8746875,1374512.882,37796.70057,948.6437787,75.50481137,634531.8389,37404.3055,39039.82494,35768.78606,727.5253714
