Close,date,Stochastic,ADI,EMA,MACD,RSI,OBV,ATR
36871.47,2021-01-07T01:00,87.13653828,1354109.717,35728.87253,819.0134155,68.73817675,600545.7521,821.1551169
36962.37,2021-01-07T02:00,89.94624769,1356597.868,35893.33886,845.4123157,69.29843163,604658.7331,807.5733228
37454.48,2021-01-07T03:00,93.29453899,1358339.846,36101.49101,895.7175244,72.20282236,609406.38,805.0659426
37450.95,2021-01-07T04:00,93.01070724,1360795.269,36281.41887,924.6412347,72.1500959,605306.4262,782.8383753
37347.2,2021-01-07T05:00,89.66323667,1360020.54,36423.52302,928.4886859,70.52010401,600968.8259,769.7806342
37130.84,2021-01-07T06:00,83.33840037,1360648.69,36517.83195,903.662516,67.11491571,596873.4747,766.9213032
36859.85,2021-01-07T07:00,75.41656922,1358576.238,36563.43436,852.2962288,63.01093699,593091.1978,756.3354958
37217.55,2021-01-07T08:00,85.87318756,1362505.185,36650.64978,830.8736821,65.96902319,598345.8081,777.3115318
37492.69,2021-01-07T09:00,93.91633536,1366789.482,36762.92181,826.5694796,68.08335984,602752.8536,764.3599938
37045.45,2021-01-07T10:00,68.04417788,1364952.865,36800.59223,778.1003811,61.40492743,599516.0309,751.1914228
37822.09,2021-01-07T11:00,95.85909255,1368364.26,36936.79194,793.2129633,67.38742401,603831.5213,760.0170355
37941.36,2021-01-07T12:00,88.509383,1369901.17,37070.73434,805.5282575,68.20257616,610194.8804,754.4443901
38161.6,2021-01-07T13:00,87.44011273,1369842.355,37216.1831,823.5661859,69.7082391,615559.2265,738.3412194
38453.97,2021-01-07T14:00,91.86313311,1371638.133,37381.22135,851.6360594,71.62882791,621075.8602,726.0125609
38970.42,2021-01-07T15:00,100,1377039.495,37593.11451,905.1211618,74.68242753,626477.2228,738.9880922
39120.01,2021-01-07T16:00,88.1253125,1374512.882,37796.70057,948.6437787,75.50481137,634531.8389,727.5253714
39732.92,2021-01-07T17:00,98.78906475,1378760.22,38054.86316,1020.825045,78.57553864,639385.5688,723.6764163
38948.48,2021-01-07T18:00,65.15325953,1383278.061,38174.01207,1003.167575,66.99905092,622464.896,948.0566722
39062,2021-01-07T19:00,67.94587946,1390911.227,38292.41046,986.9569927,67.73977118,632004.4372,1004.809767
