Open,High,Low,Close,Volume,date
40565.77,40912.48,40410.01,40874.99,2732.201204,2021-01-09T12:00
40874.99,41222,40679.1,41051.65,3818.65745,2021-01-09T13:00
41051.66,41380,40700,40819.01,3867.781192,2021-01-09T14:00
40819.01,40953,40200,40525.15,3364.433164,2021-01-09T15:00
40525.16,40649.96,39869,39995.1,3942.095173,2021-01-09T16:00
39995.09,40586.87,39985.45,40421.4,2205.653031,2021-01-09T17:00
40421.4,40800,40417.36,40650.01,2109.16468,2021-01-09T18:00
40650,40880,40469.4,40665.91,1864.142493,2021-01-09T19:00
40665.91,40781.69,40050,40606.22,3330.651765,2021-01-09T20:00
40610.35,40755,40483.17,40718.8,2433.80943,2021-01-09T21:00
40718.81,40743.47,40120,40281.09,1973.252287,2021-01-09T22:00
40283.73,40415.01,39928.91,40088.22,3255.535761,2021-01-09T23:00
40088.22,40736.76,40087.15,40581.48,2697.151944,2021-01-10T00:00
40581.48,41350,40450.05,41141.56,4299.152502,2021-01-10T01:00
41141.55,41145.21,40814.04,40945.28,2353.852746,2021-01-10T02:00
40942.75,40991.2,40250,40316.64,2477.288512,2021-01-10T03:00
40320.67,40602.29,40050,40342.46,2786.996809,2021-01-10T04:00
40342.46,40665.23,40260,40451.84,2044.479107,2021-01-10T05:00
40451.74,41073.26,40350,40904.5,2194.912951,2021-01-10T06:00
40904.5,41066.62,40660.88,40978.57,2143.462273,2021-01-10T07:00
40978.57,41033,40555,40798.29,2415.931335,2021-01-10T08:00
40798.3,41060,40732,40768.48,2642.958747,2021-01-10T09:00
40768.3,40850,40000,40429.2,5145.086741,2021-01-10T10:00
40429.19,40429.56,38888,39181.76,8619.31148,2021-01-10T11:00
39175.09,39777.77,38450,39538.57,6929.936839,2021-01-10T12:00
39538.56,40126,39426.59,39800.9,3799.316603,2021-01-10T13:00
39800.89,39847.26,39247.54,39431.59,3199.914023,2021-01-10T14:00
39431.58,39934.76,39062.91,39671.81,3219.502219,2021-01-10T15:00
39671.82,39757.55,39186.16,39234.29,2904.113456,2021-01-10T16:00
39232.76,39388.2,37200,38571.86,12879.6207,2021-01-10T17:00
38571.95,38778,37675.3,38109.68,6090.671447,2021-01-10T18:00
38106.11,38536.65,37111,37456.77,4232.502555,2021-01-10T19:00
37472.4,37793.5,35111.11,37718.88,18938.3298,2021-01-10T20:00
37727.29,38288.17,37525.22,38055.3,7661.059573,2021-01-10T21:00
38052.58,39000,37852.09,38428.23,4739.668521,2021-01-10T22:00
38429.85,38692.79,37935.92,38150.02,3794.32362,2021-01-10T23:00
38150.02,38264.74,36501,37192.1,7568.894487,2021-01-11T00:00
37192.1,37824,36700.09,37237.66,4215.99647,2021-01-11T01:00
37237.67,37411,36123.45,36363.94,6796.573064,2021-01-11T02:00
36363.93,36697.97,33600,35438.23,18753.36008,2021-01-11T03:00
35438.23,35999.95,34300,35544,9555.241658,2021-01-11T04:00
35542.92,35924.19,34500.18,34904.73,7098.497134,2021-01-11T05:00
34904.73,34904.73,32550,32872.63,15763.14871,2021-01-11T06:00
32843.26,34739.98,32538,34375.34,12674.17128,2021-01-11T07:00
34198.55,35110,33308.01,34275.64,9904.293083,2021-01-11T12:00
34273.49,34450,32700,32813.71,12794.35087,2021-01-11T13:00
32808.92,33770.11,31115,33299.12,23220.78263,2021-01-11T14:00
33291.56,33679.74,31415.9,31580,11202.31877,2021-01-11T15:00
31582.82,32250,30420,31777.19,20017.08515,2021-01-11T16:00
31771.77,33585.17,30701.8,32839.87,16685.08092,2021-01-11T17:00
32848.96,33300,32432.32,32562.1,7184.911616,2021-01-11T18:00
32562.1,32737.4,31215,32254.62,7289.184361,2021-01-11T19:00
32254.63,33465.48,31408.07,33409.8,8540.913647,2021-01-11T20:00
33410.75,34466,33076.05,33968.09,9804.011673,2021-01-11T21:00
33962.22,34892.74,33650,34359.07,5403.703631,2021-01-11T22:00
34361.16,35638.55,34361.16,35404.47,9188.299414,2021-01-11T23:00
35410.37,35547.19,34287.34,34929.98,6612.036381,2021-01-12T00:00
34929.99,35457,33880,34289.3,5087.44237,2021-01-12T01:00
34289.3,34623.87,33677.03,34399.99,4906.329506,2021-01-12T02:00
34400,34998.94,34182.24,34984.96,3550.253921,2021-01-12T03:00
34984.95,35326.42,34520.69,35287.67,4020.857514,2021-01-12T04:00
35284.05,35889,34971.24,35882.68,5053.275954,2021-01-12T05:00
35882.68,36348,35720.43,35993.93,6584.657524,2021-01-12T06:00
35998.56,36628,35617.67,36413.6,6162.134286,2021-01-12T07:00
36413.6,36499.98,35587.86,35773.24,5138.337685,2021-01-12T08:00
35773.23,36150.67,35370.21,35925.76,3783.316743,2021-01-12T09:00
35925.76,36150.71,34757,35085.77,6437.927506,2021-01-12T10:00
35085.76,35841.01,35084.92,35410.99,4770.002252,2021-01-12T11:00
35410.99,35688.82,34850,35014.75,4399.509683,2021-01-12T12:00
35012.96,35399.7,33250,33291.06,10038.2251,2021-01-12T13:00
33286,34064.25,32531,33426.47,11811.35595,2021-01-12T14:00
33416.47,34285.71,33406.88,33829.4,6681.453942,2021-01-12T15:00
33829.4,35000,33819.11,34998.9,5939.785493,2021-01-12T16:00
34998.91,35289.67,34560,35012.53,5686.970759,2021-01-12T17:00
35012.54,35550,34810.01,35040.78,4048.613144,2021-01-12T18:00
35040.78,35040.79,34178.89,34685.11,3815.680014,2021-01-12T19:00
34686.1,34702.22,33730,34287.95,5034.976316,2021-01-12T20:00
34287.95,34877.28,33801.04,34719.03,4053.704056,2021-01-12T21:00
34721.74,35051.02,33297.82,33743.18,3949.373911,2021-01-12T22:00
33751.7,34138.84,33260.74,34051.24,6381.931992,2021-01-12T23:00
34049.15,34049.15,32380,32526.5,9275.279349,2021-01-13T00:00
32526.93,33450,32487.11,33124.06,6231.717545,2021-01-13T01:00
33125.3,33551.55,32566.55,33035.21,5457.275371,2021-01-13T02:00
33035.21,34375.51,32981.94,33818.5,6460.71206,2021-01-13T03:00
33818.5,33910,33090.9,33183.88,3956.30306,2021-01-13T04:00
33183.89,33521.96,32800,33321.75,3402.317536,2021-01-13T05:00
33321.76,34212.87,33212.12,33780.68,4919.322558,2021-01-13T06:00
33780.68,35180.67,33550,34986.9,6468.36582,2021-01-13T07:00
34986.9,35063.59,34438.95,34519.19,5729.476229,2021-01-13T08:00
34517.44,35107.47,34200,34343.62,4738.542551,2021-01-13T09:00
34343.62,35066.64,34343.61,34923,4760.852936,2021-01-13T10:00
34922.99,35250,34242.15,34385.48,5982.919994,2021-01-13T11:00
34385.48,34512,34017,34266.52,3585.06836,2021-01-13T12:00
34266.52,34787.24,34070,34575.5,3664.908752,2021-01-13T13:00
34575.51,35100,34216,34260.7,5193.523431,2021-01-13T14:00
34260.7,34850,34200,34673.9,3658.847423,2021-01-13T15:00
34673.9,34930,34388.53,34783.14,2872.011202,2021-01-13T16:00
34784.98,35000,34652.06,34821.48,2913.41367,2021-01-13T17:00
34821.47,35901,34720,35719.36,6649.557746,2021-01-13T18:00
35719.36,36188,35577.55,36002.25,5312.218932,2021-01-13T19:00
36002.24,36450.01,35704.21,36222.07,5750.014467,2021-01-13T20:00
36222.07,37427,36110.76,37299.49,7450.104667,2021-01-13T21:00
37291.25,37850,36827.02,37203.87,6042.033075,2021-01-13T22:00
37204.09,37584.73,37000,37371.38,4003.128204,2021-01-13T23:00
37371.38,38172.22,37362.49,37762.76,5781.272257,2021-01-14T00:00
37766,37786.62,37363,37451.13,3460.038729,2021-01-14T01:00
37451.13,37729.62,37071,37439.51,4089.949019,2021-01-14T02:00
37440.92,37505,37000,37045.13,2807.213786,2021-01-14T03:00
37045.13,37513.58,36701.23,37504,3609.739475,2021-01-14T04:00
37503.99,37800,37299.74,37529.11,3154.225655,2021-01-14T05:00
37529.11,38100,37440,37837.21,3705.587755,2021-01-14T06:00
37837.2,38596.92,37703.09,38198.34,5294.802195,2021-01-14T07:00
38199.52,38786.1,38192.64,38370.01,3936.809626,2021-01-14T08:00
38370.01,38464.13,37862.04,37938.11,3551.706141,2021-01-14T09:00
37938.1,38490.49,37869.1,38487.37,3151.658946,2021-01-14T10:00
38488.05,38622.6,38060,38365.86,3014.522816,2021-01-14T11:00
39546.01,40000,39212.15,39286.44,5390.894067,2021-01-14T16:00
39286.43,39880,39286.43,39429.81,3239.688622,2021-01-14T17:00
39429.25,39620,39258.1,39344.79,3097.205867,2021-01-14T18:00
39344.8,39919.11,39329.93,39876.98,3010.85527,2021-01-14T19:00
39876.97,39935.1,39312.85,39312.86,2418.312605,2021-01-14T20:00
39321.64,39585,38259.25,38780.47,7841.127523,2021-01-14T21:00
38782.41,39135.17,38276,38988.62,3319.715307,2021-01-14T22:00
38988.61,39330.92,38733.11,39144.5,3094.754838,2021-01-14T23:00
