date,compound
2021-01-10 12:00:00,4.942
2021-01-10 13:00:00,1.7879
2021-01-10 14:00:00,7.8048
2021-01-10 15:00:00,5.9928
2021-01-10 16:00:00,4.693
2021-01-10 17:00:00,1.2772000000000001
2021-01-10 18:00:00,7.8237
2021-01-10 19:00:00,3.7402
2021-01-10 20:00:00,6.704000000000001
2021-01-10 21:00:00,5.8805
2021-01-10 22:00:00,6.705
2021-01-10 23:00:00,10.6237
2021-01-11 00:00:00,6.8391
2021-01-11 01:00:00,5.6151
2021-01-11 02:00:00,8.3259
2021-01-11 03:00:00,8.3395
2021-01-11 04:00:00,5.5127999999999995
2021-01-11 05:00:00,6.9521
2021-01-11 06:00:00,-2.0237
2021-01-11 07:00:00,5.9307
2021-01-11 08:00:00,11.1027
2021-01-11 09:00:00,1.351
2021-01-11 10:00:00,4.1004000000000005
2021-01-11 11:00:00,2.0495
2021-01-11 12:00:00,4.7107
2021-01-11 13:00:00,-1.7131999999999998
2021-01-11 14:00:00,4.1383
2021-01-11 15:00:00,6.6946
2021-01-11 16:00:00,12.5967
2021-01-11 17:00:00,10.6548
2021-01-11 18:00:00,4.7871
2021-01-11 19:00:00,12.1073
2021-01-11 20:00:00,3.8856
2021-01-11 21:00:00,9.1891
2021-01-11 22:00:00,1.6273000000000002
2021-01-11 23:00:00,7.6724000000000006
2021-01-12 00:00:00,2.6529
2021-01-12 01:00:00,5.4269
2021-01-12 02:00:00,6.8209
2021-01-12 03:00:00,0.2559
2021-01-12 04:00:00,7.1406
2021-01-12 05:00:00,11.355500000000001
2021-01-12 06:00:00,5.6218
2021-01-12 07:00:00,4.0499
2021-01-12 08:00:00,1.7546
2021-01-12 09:00:00,3.7085
2021-01-12 10:00:00,6.7158
2021-01-12 11:00:00,5.0138
2021-01-12 12:00:00,11.5245
2021-01-12 13:00:00,4.5649
2021-01-12 14:00:00,5.1563
2021-01-12 15:00:00,4.811999999999999
2021-01-12 16:00:00,7.2776
2021-01-12 17:00:00,6.697
2021-01-12 18:00:00,14.854800000000001
2021-01-12 19:00:00,10.3352
2021-01-12 20:00:00,4.6757
2021-01-12 21:00:00,6.7865
2021-01-12 22:00:00,9.4314
2021-01-12 23:00:00,5.6897
2021-01-13 00:00:00,7.2418000000000005
2021-01-13 01:00:00,1.7144
2021-01-13 02:00:00,5.7021
2021-01-13 03:00:00,6.7783
2021-01-13 04:00:00,8.8541
2021-01-13 05:00:00,1.979
2021-01-13 06:00:00,6.3962
2021-01-13 07:00:00,6.3689
2021-01-13 08:00:00,1.3432000000000002
2021-01-13 09:00:00,10.451600000000001
2021-01-13 10:00:00,2.0487
2021-01-13 11:00:00,5.1672
2021-01-13 12:00:00,5.5544
2021-01-13 13:00:00,11.4643
2021-01-13 14:00:00,3.9142
2021-01-13 15:00:00,6.5870999999999995
2021-01-13 16:00:00,13.0626
2021-01-13 17:00:00,8.8341
2021-01-13 18:00:00,9.2604
2021-01-13 19:00:00,22.7979
2021-01-13 20:00:00,14.4661
2021-01-13 21:00:00,14.5818
2021-01-13 22:00:00,10.8712
2021-01-13 23:00:00,3.0422000000000002
2021-01-14 00:00:00,5.1346
2021-01-14 01:00:00,2.0987999999999998
2021-01-14 02:00:00,9.2113
2021-01-14 03:00:00,4.264
2021-01-14 04:00:00,0.9487000000000001
2021-01-14 05:00:00,8.6619
2021-01-14 06:00:00,4.0275
2021-01-14 07:00:00,3.7281999999999997
2021-01-14 08:00:00,2.7734
2021-01-14 09:00:00,6.0598
2021-01-14 10:00:00,3.7489
2021-01-14 11:00:00,3.5094000000000003
2021-01-14 12:00:00,13.0028
2021-01-14 13:00:00,9.1033
2021-01-14 14:00:00,15.7264
2021-01-14 15:00:00,14.3374
2021-01-14 16:00:00,14.0379
2021-01-14 17:00:00,4.6082
2021-01-14 18:00:00,14.0789
2021-01-14 19:00:00,10.8456
2021-01-14 20:00:00,5.8219
2021-01-14 21:00:00,7.604
2021-01-14 22:00:00,10.4734
2021-01-14 23:00:00,10.7406
2021-01-15 00:00:00,9.0904
2021-01-15 01:00:00,9.4139
2021-01-15 02:00:00,9.0389
2021-01-15 03:00:00,4.9087
2021-01-15 04:00:00,2.9833
2021-01-15 05:00:00,5.7433
2021-01-15 06:00:00,6.4866
2021-01-15 07:00:00,10.6977
2021-01-15 08:00:00,4.9561
2021-01-15 09:00:00,9.6715
2021-01-15 10:00:00,7.5365
2021-01-15 11:00:00,9.5498
2021-01-15 12:00:00,2.8699
2021-01-15 13:00:00,4.8182
2021-01-15 14:00:00,11.597
2021-01-15 15:00:00,10.5749
2021-01-15 16:00:00,9.7287
2021-01-15 17:00:00,15.4058
2021-01-15 18:00:00,10.32
2021-01-15 19:00:00,9.2101
2021-01-15 20:00:00,15.8068
2021-01-15 21:00:00,7.3790000000000004
2021-01-15 22:00:00,8.6664
2021-01-15 23:00:00,8.627
2021-01-16 00:00:00,7.8056
2021-01-16 01:00:00,4.5908
2021-01-16 02:00:00,0.7870999999999999
2021-01-16 03:00:00,4.5023
2021-01-16 04:00:00,3.8618
2021-01-16 05:00:00,1.2119
2021-01-16 06:00:00,9.643600000000001
2021-01-16 07:00:00,7.3506
